Title,Year,Director,Director_Gender,Actor,Actor_Gender
Juno,2007,Jason Reitman,M,Elliot Page,F
Fargo,1996,Joel Coen,M,Frances McDormand,F
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro González Iñárritu,M,Michael Keaton,M
The Martian,2015,Ridley Scott,M,Matt Damon,M
Twilight,2008,Catherine Hardwicke,F,Kristen Stewart,F
The Notebook,2004,Nick Cassavetes,M,Ryan Gosling,M
The Zone of Interest,2023,Jonathan Glazer,M,Christian Friedel,M
The Iron Claw,2023,Sean Durkin,M,Zac Efron,M
Mulholland Drive,2001,David Lynch,M,Naomi Watts,F
Society of the Snow,2023,J. A. Bayona,M,Enzo Vogrincic,M
Scarface,1983,Brian De Palma,M,Al Pacino,M
Léon: The Professional,1994,Luc Besson,M,Jean Reno,M
"I, Tonya",2017,Craig Gillespie,M,Margot Robbie,F
The Godfather: Part II,1974,Francis Ford Coppola,M,Al Pacino,M
Logan,2017,James Mangold,M,Hugh Jackman,M
Bones and All,2022,Luca Guadagnino,M,Taylor Russell,F
12 Angry Men,1957,Sidney Lumet,M,Martin Balsam,M
Moonrise Kingdom,2012,Wes Anderson,M,Jared Gilman,M
Trainspotting,1996,Danny Boyle,M,Ewan McGregor,M
Edward Scissorhands,1990,Tim Burton,M,Johnny Depp,M
Saving Private Ryan,1998,Steven Spielberg,M,Tom Hanks,M
About Time,2013,Richard Curtis,M,Domhnall Gleeson,M
The Favourite,2018,Yorgos Lanthimos,M,Emma Stone,F
The Revenant,2015,Alejandro González Iñárritu,M,Leonardo DiCaprio,M
Your Name.,2016,Makoto Shinkai,M,Ryunosuke Kamiki,M
Elvis,2022,Baz Luhrmann,M,Austin Butler,M
BlacKkKlansman,2018,Spike Lee,M,John David Washington,M
American Beauty,1999,Sam Mendes,M,Kevin Spacey,M
The Great Gatsby,2013,Baz Luhrmann,M,Leonardo DiCaprio,M
"Girl, Interrupted",1999,James Mangold,M,Winona Ryder,F
Eyes Wide Shut,1999,Stanley Kubrick,M,Tom Cruise,M
Apocalypse Now,1979,Francis Ford Coppola,M,Martin Sheen,M
The Shape of Water,2017,Guillermo del Toro,M,Sally Hawkins,F
