Title,Year,Director,Director_Gender,Actor,Actor_Gender
Chungking Express,1994,Wong Kar-wai,M,Takeshi Kaneshiro,M
Toy Story 4,2019,Josh Cooley,M,Tom Hanks,M
Free Guy,2021,Shawn Levy,M,Ryan Reynolds,M
School of Rock,2003,Richard Linklater,M,Jack Black,M
The Lego Movie,2014,Phil Lord,M,Chris Pratt,M
Palm Springs,2020,Max Barbakow,M,Andy Samberg,M
Frances Ha,2012,Noah Baumbach,M,Greta Gerwig,F
Silver Linings Playbook,2012,David O. Russell,M,Bradley Cooper,M
The Fall Guy,2024,David Leitch,M,Ryan Gosling,M
Elemental,2023,Peter Sohn,M,Leah Lewis,F
Midnight in Paris,2011,Woody Allen,M,Owen Wilson,M
Zombieland,2009,Ruben Fleischer,M,Jesse Eisenberg,M
Notting Hill,1999,Roger Michell,M,Julia Roberts,F
mid90s,2018,Jonah Hill,M,Sunny Suljic,M
The Princess Bride,1987,Rob Reiner,M,Cary Elwes,M
Ready or Not,2019,Matt Bettinelli-Olpin,M,Samara Weaving,F
How to Lose a Guy in 10 Days,2003,Donald Petrie,M,Kate Hudson,F
Beau Is Afraid,2023,Ari Aster,M,Joaquin Phoenix,M
Love Actually,2003,Richard Curtis,M,Hugh Grant,M
Pitch Perfect,2012,Jason Moore,M,Anna Kendrick,F
21 Jump Street,2012,Phil Lord,M,Jonah Hill,M
Shiva Baby,2020,Emma Seligman,F,Rachel Sennott,F
Pretty Woman,1990,Garry Marshall,M,Richard Gere,M
Hot Fuzz,2007,Edgar Wright,M,Simon Pegg,M
The Rocky Horror Picture Show,1975,Jim Sharman,M,Tim Curry,M
The Edge of Seventeen,2016,Kelly Fremon Craig,F,Hailee Steinfeld,F
Brave,2012,Brenda Chapman,M,Kelly Macdonald,F
Dungeons & Dragons: Honor Among Thieves,2023,John Francis Daley,M,Chris Pine,M
Wreck-It Ralph,2012,Rich Moore,M,John C. Reilly,M
Punch-Drunk Love,2002,Paul Thomas Anderson,M,Adam Sandler,M
Another Round,2020,Thomas Vinterberg,M,Mads Mikkelsen,M
Grease,1978,Randal Kleiser,M,John Travolta,M
Ocean's Eight,2018,Gary Ross,M,Sandra Bullock,F
American Fiction,2023,Cord Jefferson,M,Jeffrey Wright,M
Ghostbusters,1984,Ivan Reitman,M,Bill Murray,M
The Princess Diaries,2001,Garry Marshall,M,Anne Hathaway,F
Crazy Rich Asians,2018,Jon M. Chu,M,Constance Wu,F
Mean Girls,2024,Arturo Perez Jr.,M,Angourie Rice,F
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,M,Peter Sellers,M
Back to the Future Part II,1989,Robert Zemeckis,M,Michael J. Fox,M
Groundhog Day,1993,Harold Ramis,M,Bill Murray,M
But I'm a Cheerleader,1999,Jamie Babbit,F,Natasha Lyonne,F
What We Do in the Shadows,2014,Taika Waititi,M,Jemaine Clement,M
Finding Dory,2016,Andrew Stanton,M,Albert Brooks,M
Mr. & Mrs. Smith,2005,Doug Liman,M,Brad Pitt,M
Heathers,1989,Michael Lehmann,M,Winona Ryder,F
Elf,2003,Jon Favreau,M,Will Ferrell,M
Despicable Me,2010,Pierre Coffin,M,Steve Carell,M
Megamind,2010,Tom McGrath,M,Will Ferrell,M
Cocaine Bear,2023,Elizabeth Banks,F,Keri Russell,F
Deadpool & Wolverine,2024,Shawn Levy,M,Ryan Reynolds,M
Men in Black,1997,Barry Sonnenfeld,M,Tommy Lee Jones,M
The Parent Trap,1998,Nancy Meyers,F,Lindsay Lohan,F
Sorry to Bother You,2018,Boots Riley,M,LaKeith Stanfield,M
Singin' in the Rain,1952,Stanley Donen,M,Gene Kelly,M
The Emperor's New Groove,2000,Mark Dindal,M,David Spade,M
Dazed and Confused,1993,Richard Linklater,M,Jason London,M
The Lego Batman Movie,2017,Chris McKay,M,Will Arnett,M
Jumanji: Welcome to the Jungle,2017,Jake Kasdan,M,Dwayne Johnson,M
Ice Age,2002,Chris Wedge,M,Ray Romano,M
Being John Malkovich,1999,Spike Jonze,M,John Cusack,M
The Darjeeling Limited,2007,Wes Anderson,M,Owen Wilson,M
Eighth Grade,2018,Bo Burnham,M,Elsie Fisher,F
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,Jeff Rowe,M,Micah Abbey,M
Shazam!,2019,David F. Sandberg,M,Zachary Levi,M
Home Alone 2: Lost in New York,1992,Chris Columbus,M,Macaulay Culkin,M
Madagascar,2005,Eric Darnell,M,Ben Stiller,M
Paddington,2014,Paul King,M,Ben Whishaw,M
How the Grinch Stole Christmas,2000,Ron Howard,M,Jim Carrey,M
Monty Python and the Holy Grail,1975,Terry Gilliam,M,Graham Chapman,M
Matilda,1996,Danny DeVito,M,Mara Wilson,F
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,M,Sacha Baron Cohen,M
Emma.,2020,Autumn de Wilde,F,Anya Taylor-Joy,F
The Secret Life of Walter Mitty,2013,Ben Stiller,M,Ben Stiller,M
Hit Man,2023,Richard Linklater,M,Glen Powell,M
Dream Scenario,2023,Kristoffer Borgli,M,Nicolas Cage,M
Night at the Museum,2006,Shawn Levy,M,Ben Stiller,M
The Wonderful Story of Henry Sugar,2023,Wes Anderson,M,Ralph Fiennes,M
Bo Burnham: Inside,2021,Bo Burnham,M,Bo Burnham,M
In Bruges,2008,Martin McDonagh,M,Colin Farrell,M
The Mitchells vs. The Machines,2021,Mike Rianda,M,Abbi Jacobson,F
Snatch,2000,Guy Ritchie,M,Brad Pitt,M
Hercules,1997,Ron Clements,M,Tate Donovan,M
Life Is Beautiful,1997,Roberto Benigni,M,Roberto Benigni,M
Zoolander,2001,Ben Stiller,M,Ben Stiller,M
Ted,2012,Seth MacFarlane,M,Mark Wahlberg,M
Frozen II,2019,Chris Buck,M,Idina Menzel,F
To All the Boys I've Loved Before,2018,Susan Johnson,F,Lana Condor,F
Marcel the Shell with Shoes On,2021,Dean Fleischer Camp,M,Jenny Slate,F
The Graduate,1967,Mike Nichols,M,Anne Bancroft,F
"Red, White & Royal Blue",2023,Matthew López,M,Taylor Zakhar Perez,M
Rango,2011,Gore Verbinski,M,Johnny Depp,M
Rushmore,1998,Wes Anderson,M,Jason Schwartzman,M
The Unbearable Weight of Massive Talent,2022,Tom Gormican,M,Nicolas Cage,M
The Proposal,2009,Anne Fletcher,F,Sandra Bullock,F
The Holiday,2006,Nancy Meyers,F,Cameron Diaz,F
The Life Aquatic with Steve Zissou,2004,Wes Anderson,M,Bill Murray,M
Paddington 2,2017,Paul King,M,Ben Whishaw,M
Do Revenge,2022,Jennifer Kaytin Robinson,F,Camila Mendes,F
Napoleon Dynamite,2004,Jared Hess,M,Jon Heder,M
Minions: The Rise of Gru,2022,Kyle Balda,M,Steve Carell,M
White Chicks,2004,Keenen Ivory Wayans,M,Shawn Wayans,M
A Bug's Life,1998,John Lasseter,M,Dave Foley,M
Breakfast at Tiffany's,1961,Blake Edwards,M,Audrey Hepburn,F
Mamma Mia! Here We Go Again,2018,Ol Parker,M,Lily James,F
The Gentlemen,2019,Guy Ritchie,M,Matthew McConaughey,M
Onward,2020,Dan Scanlon,M,Tom Holland,M
House,1977,Nobuhiko Obayashi,M,Kimiko Ikegami,F
The Mask,1994,Chuck Russell,M,Jim Carrey,M
The Intouchables,2011,Éric Toledano,M,François Cluzet,M
Back to the Future Part III,1990,Robert Zemeckis,M,Michael J. Fox,M
Swiss Army Man,2016,Daniel Scheinert,M,Paul Dano,M
The Farewell,2019,Lulu Wang,F,Awkwafina,F
Kingsman: The Golden Circle,2017,Matthew Vaughn,M,Colin Firth,M
Freaky Friday,2003,Mark Waters,M,Lindsay Lohan,F
Game Night,2018,John Francis Daley,M,Jason Bateman,M
"Love, Simon",2018,Greg Berlanti,M,Nick Robinson,M
How to Train Your Dragon 2,2014,Dean DeBlois,M,Jay Baruchel,M
Bridget Jones's Diary,2001,Sharon Maguire,F,Renée Zellweger,F
Shrek the Third,2007,Chris Miller,M,Mike Myers,M
Cars 2,2011,John Lasseter,M,Larry the Cable Guy,M
Scooby-Doo,2002,Raja Gosnell,M,Freddie Prinze Jr.,M
