Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
It Follows,2014,David Robert Mitchell,M,Maika Monroe,F,"After carefree teenager Jay  sleeps with her new boyfriend, Hugh, for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her flee or defend herself."
Bird Box,2018,Susanne Bier,F,Sandra Bullock,F,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
Evil Dead Rise,2023,Lee Cronin,M,Lily Sullivan,F,Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.
Suspiria,1977,Dario Argento,M,Jessica Harper,F,"From the moment she arrives in Freiberg, Germany, to attend the prestigious Tanz Academy, American ballet-dancer Suzy Bannion senses that something horribly evil lurks within the walls of the age-old institution."
Suspiria,2018,Luca Guadagnino,M,Dakota Johnson,F,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the troupe's artistic director, an ambitious young dancer and a grieving psychotherapist. Some will succumb to the nightmare, others will finally wake up."
The Cabin in the Woods,2011,Drew Goddard,M,Kristen Connolly,F,"Five college friends spend the weekend at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods."
The Blair Witch Project,1999,Daniel Myrick,M,Heather Donahue,F,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found."
Fresh,2022,Mimi Cave,F,Daisy Edgar-Jones,F,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store."
Aliens,1986,James Cameron,M,Sigourney Weaver,F,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
A Nightmare on Elm Street,1984,Wes Craven,M,Heather Langenkamp,F,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world..."
The Invisible Man,2020,Leigh Whannell,M,Elisabeth Moss,F,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
Rosemary's Baby,1968,Roman Polanski,M,Mia Farrow,F,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn’t safe around their strange neighbors.
Possession,1981,Andrzej Żuławski,M,Isabelle Adjani,F,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair."
Raw,2016,Julia Ducournau,F,Garance Marillier,F,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form."
Titane,2021,Julia Ducournau,F,Agathe Rousselle,F,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years."
The Babadook,2014,Jennifer Kent,F,Essie Davis,F,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her."
Old,2021,M. Night Shyamalan,M,Vicky Krieps,F,"A family on a tropical holiday discovers that the secluded beach where they are staying is somehow causing them to age rapidly, reducing their entire lives into a single day."
Climax,2018,Gaspar Noé,M,Sofia Boutella,F,Young dancers gather in a remote and empty school building to rehearse on a cold and wintry night. The all-night celebration soon turns into a hallucinatory nightmare when they learn that their sangria is laced with LSD.
MaXXXine,2024,Ti West,M,Mia Goth,F,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
A Quiet Place: Day One,2024,Michael Sarnoski,M,Lupita Nyong'o,F,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive."
Scream 2,1997,Wes Craven,M,Neve Campbell,F,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself."
Malignant,2021,James Wan,M,Annabelle Wallis,F,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
Under the Skin,2013,Jonathan Glazer,M,Scarlett Johansson,F,A seductive stranger prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.
House,1977,Nobuhiko Obayashi,M,Kimiko Ikegami,F,"Hoping to find a sense of connection to her late mother, Gorgeous takes a trip to the country to visit her aunt at their ancestral house. She invites her six friends, Prof, Melody, Mac, Fantasy, Kung Fu, and Sweet, to join her. The girls soon discover that there is more to the old house than meets the eye."
Immaculate,2024,Michael Mohan,M,Sydney Sweeney,F,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors."
Fear Street: 1994,2021,Leigh Janiak,F,Kiana Madeira,F,"In 1994, a group of teenagers discovers that the terrifying events which have haunted their town for generations ​are all connected — and that they may be the next targets."
Prometheus,2012,Ridley Scott,M,Noomi Rapace,F,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race."
Men,2022,Alex Garland,M,Jessie Buckley,F,"In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears."
The Birds,1963,Alfred Hitchcock,M,Tippi Hedren,F,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay."
Happy Death Day,2017,Christopher Landon,M,Jessica Rothe,F,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out."
Halloween,2018,David Gordon Green,M,Jamie Lee Curtis,F,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
Fear Street: 1978,2021,Leigh Janiak,F,Sadie Sink,F,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive."
The Others,2001,Alejandro Amenábar,M,Nicole Kidman,F,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions."
Orphan,2009,Jaume Collet-Serra,M,Vera Farmiga,F,"A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems."
Hellraiser,1987,Clive Barker,M,Clare Higgins,F,An unfaithful wife encounters the zombie of her dead lover while the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.
The Neon Demon,2016,Nicolas Winding Refn,M,Elle Fanning,F,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
Totally Killer,2023,Nahnatchka Khan,F,Kiernan Shipka,F,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start."
Twin Peaks: Fire Walk with Me,1992,David Lynch,M,Sheryl Lee,F,"In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate."
The Descent,2005,Neil Marshall,M,Shauna Macdonald,F,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other."
Lisa Frankenstein,2024,Zelda Williams,F,Kathryn Newton,F,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way."
Hush,2016,Mike Flanagan,M,Kate Siegel,F,A deaf woman is stalked by a psychotic killer in her secluded home.
Night of the Living Dead,1968,George A. Romero,M,Judith O'Dea,F,A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse.
