Title,Year,Director,Director_Gender,Actor,Actor_Gender
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,M,Daniel Radcliffe,M
Aftersun,2022,Charlotte Wells,F,Paul Mescal,M
The Lighthouse,2019,Robert Eggers,M,Robert Pattinson,M
WALL·E,2008,Andrew Stanton,M,Ben Burtt,M
Bottoms,2023,Emma Seligman,F,Rachel Sennott,F
Harry Potter and the Philosopher's Stone,2001,Chris Columbus,M,Daniel Radcliffe,M
Bullet Train,2022,David Leitch,M,Brad Pitt,M
Thor: Ragnarok,2017,Taika Waititi,M,Chris Hemsworth,M
1917,2019,Sam Mendes,M,George MacKay,M
Avatar,2009,James Cameron,M,Sam Worthington,M
No Country for Old Men,2007,Joel Coen,M,Javier Bardem,M
2001: A Space Odyssey,1968,Stanley Kubrick,M,Keir Dullea,M
Moonlight,2016,Barry Jenkins,M,Trevante Rhodes,M
Doctor Strange in the Multiverse of Madness,2022,Sam Raimi,M,Benedict Cumberbatch,M
Prisoners,2013,Denis Villeneuve,M,Hugh Jackman,M
The Devil Wears Prada,2006,David Frankel,M,Meryl Streep,F
Spider-Man: Far from Home,2019,Jon Watts,M,Tom Holland,M
The Breakfast Club,1985,John Hughes,M,Emilio Estevez,M
Uncut Gems,2019,Josh Safdie,M,Adam Sandler,M
The Avengers,2012,Joss Whedon,M,Robert Downey Jr.,M
Memento,2000,Christopher Nolan,M,Guy Pearce,M
Dunkirk,2017,Christopher Nolan,M,Fionn Whitehead,M
Killers of the Flower Moon,2023,Martin Scorsese,M,Leonardo DiCaprio,M
Inside Out 2,2024,Kelsey Mann,M,Amy Poehler,F
Puss in Boots: The Last Wish,2022,Joel Crawford,M,Antonio Banderas,M
Coraline,2009,Henry Selick,M,Dakota Fanning,F
It,2017,Andy Muschietti,M,Jaeden Martell,M
Scream,1996,Wes Craven,M,David Arquette,M
Shrek,2001,Andrew Adamson,M,Mike Myers,M
The Empire Strikes Back,1980,Irvin Kershner,M,Mark Hamill,M
Catch Me If You Can,2002,Steven Spielberg,M,Leonardo DiCaprio,M
Spider-Man,2002,Sam Raimi,M,Tobey Maguire,M
A Quiet Place,2018,John Krasinski,M,Emily Blunt,F
The Banshees of Inisherin,2022,Martin McDonagh,M,Colin Farrell,M
My Neighbor Totoro,1988,Hayao Miyazaki,M,Noriko Hidaka,F
Nightcrawler,2014,Dan Gilroy,M,Jake Gyllenhaal,M
The Holdovers,2023,Alexander Payne,M,Paul Giamatti,M
Toy Story,1995,John Lasseter,M,Tom Hanks,M
Tenet,2020,Christopher Nolan,M,John David Washington,M
Jurassic Park,1993,Steven Spielberg,M,Sam Neill,M
The Lord of the Rings: The Return of the King,2003,Peter Jackson,M,Elijah Wood,M
Anyone But You,2023,Will Gluck,M,Sydney Sweeney,F
The Incredibles,2004,Brad Bird,M,Craig T. Nelson,M
Requiem for a Dream,2000,Darren Aronofsky,M,Ellen Burstyn,F
Lost in Translation,2003,Sofia Coppola,F,Bill Murray,M
Superbad,2007,Greg Mottola,M,Jonah Hill,M
Guardians of the Galaxy Vol. 2,2017,James Gunn,M,Chris Pratt,M
Zodiac,2007,David Fincher,M,Jake Gyllenhaal,M
Iron Man,2008,Jon Favreau,M,Robert Downey Jr.,M
Alien,1979,Ridley Scott,M,Tom Skerritt,M
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Francis Lawrence,M,Tom Blyth,M
Wonka,2023,Paul King,M,Timothée Chalamet,M
Finding Nemo,2003,Andrew Stanton,M,Albert Brooks,M
Portrait of a Lady on Fire,2019,Céline Sciamma,F,Noémie Merlant,F
A Clockwork Orange,1971,Stanley Kubrick,M,Malcolm McDowell,M
The Super Mario Bros. Movie,2023,Michael Jelenic,M,Chris Pratt,M
Before Sunrise,1995,Richard Linklater,M,Ethan Hawke,M
"Monsters, Inc.",2001,Pete Docter,M,John Goodman,M
The Lord of the Rings: The Two Towers,2002,Peter Jackson,M,Elijah Wood,M
Marriage Story,2019,Noah Baumbach,M,Adam Driver,M
Pride & Prejudice,2005,Joe Wright,M,Keira Knightley,F
Home Alone,1990,Chris Columbus,M,Macaulay Culkin,M
Captain America: Civil War,2016,Anthony Russo,M,Chris Evans,M
Blade Runner,1982,Ridley Scott,M,Harrison Ford,M
Reservoir Dogs,1992,Quentin Tarantino,M,Harvey Keitel,M
Spider-Man 2,2004,Sam Raimi,M,Tobey Maguire,M
The Dark Knight Rises,2012,Christopher Nolan,M,Christian Bale,M
Oldboy,2003,Park Chan-wook,M,Choi Min-sik,M
Doctor Strange,2016,Scott Derrickson,M,Benedict Cumberbatch,M
Asteroid City,2023,Wes Anderson,M,Jason Schwartzman,M
Harry Potter and the Goblet of Fire,2005,Mike Newell,M,Daniel Radcliffe,M
The Hunger Games: Catching Fire,2013,Francis Lawrence,M,Jennifer Lawrence,F
John Wick,2014,Chad Stahelski,M,Keanu Reeves,M
Batman Begins,2005,Christopher Nolan,M,Christian Bale,M
Harry Potter and the Chamber of Secrets,2002,Chris Columbus,M,Daniel Radcliffe,M
The Prestige,2006,Christopher Nolan,M,Hugh Jackman,M
Star Wars: The Force Awakens,2015,J.J. Abrams,M,Harrison Ford,M
Psycho,1960,Alfred Hitchcock,M,Anthony Perkins,M
The Witch,2015,Robert Eggers,M,Anya Taylor-Joy,F
The Lion King,1994,Roger Allers,M,Matthew Broderick,M
Captain America: The Winter Soldier,2014,Anthony Russo,M,Chris Evans,M
Bohemian Rhapsody,2018,Bryan Singer,M,Rami Malek,M
Amélie,2001,Jean-Pierre Jeunet,M,Audrey Tautou,F
Barbarian,2022,Zach Cregger,M,Georgina Campbell,F
Mamma Mia!,2008,Phyllida Lloyd,F,Meryl Streep,F
Schindler's List,1993,Steven Spielberg,M,Liam Neeson,M
Babylon,2022,Damien Chazelle,M,Brad Pitt,M
The French Dispatch,2021,Wes Anderson,M,Benicio del Toro,M
Princess Mononoke,1997,Hayao Miyazaki,M,Youji Matsuda,F
The Lobster,2015,Yorgos Lanthimos,M,Colin Farrell,M
Priscilla,2023,Sofia Coppola,F,Cailee Spaeny,F
The Boy and the Heron,2023,Hayao Miyazaki,M,Soma Santoki,M
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,M,Daniel Radcliffe,M
Tangled,2010,Byron Howard,M,Mandy Moore,F
Star Wars: Episode III – Revenge of the Sith,2005,George Lucas,M,Hayden Christensen,M
Talk to Me,2022,Michael Philippou,M,Sophie Wilde,F
Jaws,1975,Steven Spielberg,M,Roy Scheider,M
The Whale,2022,Darren Aronofsky,M,Brendan Fraser,M
Ex Machina,2015,Alex Garland,M,Domhnall Gleeson,M
Brokeback Mountain,2005,Ang Lee,M,Heath Ledger,M
Return of the Jedi,1983,Richard Marquand,M,Mark Hamill,M
Bodies Bodies Bodies,2022,Halina Reijn,F,Maria Bakalova,F
There Will Be Blood,2007,Paul Thomas Anderson,M,Daniel Day-Lewis,M
Don't Worry Darling,2022,Olivia Wilde,F,Florence Pugh,F
The Departed,2006,Martin Scorsese,M,Leonardo DiCaprio,M
Clueless,1995,Amy Heckerling,F,Alicia Silverstone,F
Split,2016,M. Night Shyamalan,M,James McAvoy,M
Harry Potter and the Order of the Phoenix,2007,David Yates,M,Daniel Radcliffe,M
The Nightmare Before Christmas,1993,Henry Selick,M,Danny Elfman,M
Avengers: Age of Ultron,2015,Joss Whedon,M,Robert Downey Jr.,M
Juno,2007,Jason Reitman,M,Elliot Page,F
Thor: Love and Thunder,2022,Taika Waititi,M,Chris Hemsworth,M
Perfect Blue,1997,Satoshi Kon,M,Junko Iwao,F
Fargo,1996,Joel Coen,M,Frances McDormand,F
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro González Iñárritu,M,Michael Keaton,M
The Martian,2015,Ridley Scott,M,Matt Damon,M
Twilight,2008,Catherine Hardwicke,F,Kristen Stewart,F
Shrek 2,2004,Andrew Adamson,M,Mike Myers,M
The Notebook,2004,Nick Cassavetes,M,Ryan Gosling,M
The Suicide Squad,2021,James Gunn,M,Margot Robbie,F
The Zone of Interest,2023,Jonathan Glazer,M,Christian Friedel,M
The Iron Claw,2023,Sean Durkin,M,Zac Efron,M
No Hard Feelings,2023,Gene Stupnitsky,M,Jennifer Lawrence,F
Mulholland Drive,2001,David Lynch,M,Naomi Watts,F
Last Night in Soho,2021,Edgar Wright,M,Thomasin McKenzie,F
Encanto,2021,Byron Howard,M,Stephanie Beatriz,F
Society of the Snow,2023,J. A. Bayona,M,Enzo Vogrincic,M
Star Wars: Episode I – The Phantom Menace,1999,George Lucas,M,Liam Neeson,M
Scarface,1983,Brian De Palma,M,Al Pacino,M
Star Wars: The Last Jedi,2017,Rian Johnson,M,Mark Hamill,M
Léon: The Professional,1994,Luc Besson,M,Jean Reno,M
Harry Potter and the Half-Blood Prince,2009,David Yates,M,Daniel Radcliffe,M
"I, Tonya",2017,Craig Gillespie,M,Margot Robbie,F
The Big Lebowski,1998,Joel Coen,M,Jeff Bridges,M
The Godfather: Part II,1974,Francis Ford Coppola,M,Al Pacino,M
Logan,2017,James Mangold,M,Hugh Jackman,M
Black Widow,2021,Cate Shortland,F,Scarlett Johansson,F
Bones and All,2022,Luca Guadagnino,M,Taylor Russell,F
Deadpool 2,2018,David Leitch,M,Ryan Reynolds,M
Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,M,Daniel Radcliffe,M
12 Angry Men,1957,Sidney Lumet,M,Martin Balsam,M
Ferris Bueller's Day Off,1986,John Hughes,M,Matthew Broderick,M
Kill Bill: Vol. 2,2004,Quentin Tarantino,M,Uma Thurman,F
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,M,Johnny Depp,M
Moonrise Kingdom,2012,Wes Anderson,M,Jared Gilman,M
Trainspotting,1996,Danny Boyle,M,Ewan McGregor,M
Edward Scissorhands,1990,Tim Burton,M,Johnny Depp,M
The Thing,1982,John Carpenter,M,Kurt Russell,M
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,M,Simu Liu,M
Captain Marvel,2019,Ryan Fleck,M,Brie Larson,F
Rogue One: A Star Wars Story,2016,Gareth Edwards,M,Felicity Jones,F
The Amazing Spider-Man,2012,Marc Webb,M,Andrew Garfield,M
The Nice Guys,2016,Shane Black,M,Russell Crowe,M
Saving Private Ryan,1998,Steven Spielberg,M,Tom Hanks,M
About Time,2013,Richard Curtis,M,Domhnall Gleeson,M
Ant-Man,2015,Peyton Reed,M,Paul Rudd,M
The Favourite,2018,Yorgos Lanthimos,M,Emma Stone,F
Captain America: The First Avenger,2011,Joe Johnston,M,Chris Evans,M
The Revenant,2015,Alejandro González Iñárritu,M,Leonardo DiCaprio,M
Your Name.,2016,Makoto Shinkai,M,Ryunosuke Kamiki,M
Elvis,2022,Baz Luhrmann,M,Austin Butler,M
BlacKkKlansman,2018,Spike Lee,M,John David Washington,M
American Beauty,1999,Sam Mendes,M,Kevin Spacey,M
Five Nights at Freddy's,2023,Emma Tammi,F,Josh Hutcherson,M
The Great Gatsby,2013,Baz Luhrmann,M,Leonardo DiCaprio,M
"Girl, Interrupted",1999,James Mangold,M,Winona Ryder,F
Jennifer's Body,2009,Karyn Kusama,F,Megan Fox,F
Eyes Wide Shut,1999,Stanley Kubrick,M,Tom Cruise,M
Black Panther: Wakanda Forever,2022,Ryan Coogler,M,Letitia Wright,F
Luca,2021,Enrico Casarosa,M,Jacob Tremblay,M
Apocalypse Now,1979,Francis Ford Coppola,M,Martin Sheen,M
The Shape of Water,2017,Guillermo del Toro,M,Sally Hawkins,F
The Virgin Suicides,1999,Sofia Coppola,F,James Woods,M
The Florida Project,2017,Sean Baker,M,Brooklynn Prince,F
The Worst Person in the World,2021,Joachim Trier,M,Renate Reinsve,F
Toy Story 3,2010,Lee Unkrich,M,Tom Hanks,M
Beautiful Boy,2018,Felix van Groeningen,M,Steve Carell,M
Zootopia,2016,Byron Howard,M,Jason Bateman,M
Gladiator,2000,Ridley Scott,M,Russell Crowe,M
In the Mood for Love,2000,Wong Kar-wai,M,Tony Leung Chiu-wai,M
Isle of Dogs,2018,Wes Anderson,M,Bryan Cranston,M
The Hateful Eight,2015,Quentin Tarantino,M,Samuel L. Jackson,M
Turning Red,2022,Domee Shi,F,Rosalie Chiang,F
The Pianist,2002,Roman Polanski,M,Adrien Brody,M
Raiders of the Lost Ark,1981,Steven Spielberg,M,Harrison Ford,M
Booksmart,2019,Olivia Wilde,F,Kaitlyn Dever,F
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,M,Carrie Fisher,F
Star Wars: Episode II – Attack of the Clones,2002,George Lucas,M,Hayden Christensen,M
Triangle of Sadness,2022,Ruben Östlund,M,Harris Dickinson,M
The Handmaiden,2016,Park Chan-wook,M,Kim Min-hee,F
Moana,2016,Ron Clements,M,Auli'i Cravalho,F
The Royal Tenenbaums,2001,Wes Anderson,M,Gene Hackman,M
Incredibles 2,2018,Brad Bird,M,Craig T. Nelson,M
